tabla,fila_index,employeekey,columna_diferente,valor_postgres,valor_sqlserver
dim_employee,-1,291,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,-1,292,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,-1,293,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,-1,294,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,-1,295,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,-1,296,REGISTRO_COMPLETO,NO_EXISTE,EXISTE
dim_employee,0,1,baserate,125.5,12.45
dim_employee,1,2,baserate,63.4615,13.4615
dim_employee,3,4,baserate,8.62,29.8462
dim_employee,4,5,baserate,32.6923,29.8462
dim_employee,5,6,baserate,32.6923,25.0
dim_employee,6,7,baserate,50.4808,37.5
dim_employee,7,8,baserate,40.8654,37.5
dim_employee,8,9,baserate,40.8654,25.0
dim_employee,9,10,baserate,42.4808,13.45
dim_employee,10,11,baserate,28.8462,32.6923
dim_employee,11,12,baserate,25.0,13.45
dim_employee,12,13,baserate,25.0,32.6923
dim_employee,13,14,baserate,36.0577,63.4615
dim_employee,14,15,baserate,32.6923,13.45
dim_employee,15,16,baserate,24.0,25.0
dim_employee,16,17,baserate,13.4615,13.45
dim_employee,17,18,baserate,14.4231,25.0
dim_employee,18,19,baserate,13.4615,13.45
dim_employee,19,20,baserate,13.4615,25.0
dim_employee,20,21,baserate,14.4231,13.45
dim_employee,21,22,baserate,14.4231,9.5
dim_employee,22,23,baserate,14.4231,24.5192
dim_employee,23,24,baserate,14.4231,10.0
dim_employee,24,25,baserate,84.1346,10.0
dim_employee,25,26,baserate,24.5192,9.5
dim_employee,27,28,baserate,12.45,14.0
dim_employee,28,29,baserate,12.45,15.0
dim_employee,29,30,baserate,12.45,32.4519
dim_employee,30,31,baserate,12.45,11.0
dim_employee,31,32,baserate,12.45,27.1394
dim_employee,32,33,baserate,12.45,15.0
dim_employee,33,34,baserate,12.45,9.5
dim_employee,34,35,baserate,12.45,9.5
dim_employee,35,36,baserate,12.45,9.0
dim_employee,36,37,baserate,12.45,9.5
dim_employee,37,38,baserate,12.45,11.0
dim_employee,40,41,baserate,12.45,14.0
dim_employee,41,42,baserate,12.45,10.0
dim_employee,42,43,baserate,12.45,21.6346
dim_employee,43,44,baserate,12.45,50.4808
dim_employee,44,45,baserate,12.45,11.0
dim_employee,45,46,baserate,12.45,23.5577
dim_employee,46,47,baserate,25.0,15.0
dim_employee,47,48,baserate,13.45,14.4231
dim_employee,48,49,baserate,13.45,18.2692
dim_employee,49,50,baserate,13.45,11.0
dim_employee,50,51,baserate,13.45,20.4327
dim_employee,51,52,baserate,13.45,9.5
dim_employee,52,53,baserate,13.45,25.0
dim_employee,53,54,baserate,13.45,10.0
dim_employee,54,55,baserate,25.0,12.45
dim_employee,55,56,baserate,11.0,16.8269
dim_employee,56,57,baserate,11.0,14.0
